"JW_ID"	"Solubility..."
"2018"	"JW2551"	117
"2020"	"JW2557"	101
"2022"	"JW2561"	12
"2023"	"JW2564"	14
"2025"	"JW2575"	11
"2031"	"JW5413"	107
"2033"	"JW2601"	101
"2035"	"JW2614"	12
"2038"	"JW2631"	12
"2039"	"JW2639"	7
"2041"	"JW2649"	101
"2043"	"JW2659"	103
"2044"	"JW2662"	110
"2045"	"JW2665"	13
"2046"	"JW2668"	93
"2047"	"JW2670"	103
"2050"	"JW2683"	102
"2053"	"JW2697"	94
"2054"	"JW2704"	22
"2055"	"JW2705"	11
"2058"	"JW2709"	15
"2059"	"JW2713"	15
"2062"	"JW2720"	84
"2063"	"JW2722"	11
"2064"	"JW2726"	16
"2067"	"JW2732"	12
"2070"	"JW5441"	25
"2071"	"JW5442"	11
"2073"	"JW2752"	89
"2074"	"JW2762"	9
"2080"	"JW2779"	10
"2083"	"JW2795"	6
"2086"	"JW2799"	100
"2088"	"JW2808"	12
"2089"	"JW2810"	71
"2091"	"JW5454"	13
"2095"	"JW2835"	17
"2096"	"JW5464"	23
"2098"	"JW5468"	97
"2100"	"JW5847"	93
"2102"	"JW2862"	73
"2103"	"JW2863"	91
"2104"	"JW2870"	14
"2105"	"JW5473"	98
"2106"	"JW2879"	9
"2107"	"JW5475"	94
"2108"	"JW2883"	17
"2110"	"JW5476"	19
"2114"	"JW2895"	24
"2115"	"JW2896"	80
"2116"	"JW5252"	77
"2118"	"JW2911"	91
"2120"	"JW2913"	19
"2121"	"JW2915"	85
"2122"	"JW2918"	74
"2124"	"JW2921"	95
"2128"	"JW4203"	117
"2130"	"JW2947"	20
"2135"	"JW2960"	80
"2136"	"JW2961"	113
"2138"	"JW2972"	80
"2143"	"JW5502"	29
"2144"	"JW2993"	97
"2145"	"JW2996"	115
"2146"	"JW2999"	17
"2150"	"JW3009"	116
"2156"	"JW3033"	79
"2158"	"JW3040"	23
"2159"	"JW3041"	19
"2162"	"JW3065"	23
"2164"	"JW3076"	19
"2165"	"JW3077"	78
"2166"	"JW5518"	84
"2167"	"JW5520"	16
"2168"	"JW3091"	9
"2169"	"JW5526"	91
"2170"	"JW3100"	81
"2171"	"JW4206"	87
"2172"	"JW2092"	101
"2176"	"JW2106"	92
"2184"	"JW2169"	91
"2185"	"JW2171"	85
"2186"	"JW2173"	86
"2187"	"JW2175"	84
"2190"	"JW4234"	13
"2191"	"JW2195"	108
"2194"	"JW2245"	72
"2197"	"JW2254"	91
"2199"	"JW2262"	106
"2200"	"JW2269"	85
"2203"	"JW2300"	90
"2204"	"JW2340"	88
"2205"	"JW5383"	101
"2206"	"JW2350"	91
"2209"	"JW2356"	82
"2210"	"JW2359"	96
"2215"	"JW2393"	10
"2216"	"JW2394"	15
"2218"	"JW2408"	88
"2221"	"JW2427"	80
"2223"	"JW2441"	89
"2224"	"JW2445"	90
"2225"	"JW2446"	93
"2226"	"JW2455"	87
"2228"	"JW2475"	79
"2231"	"JW2509"	82
"2232"	"JW2512"	111
"2233"	"JW2513"	97
"2234"	"JW2524"	113
"2236"	"JW2537"	95
"2237"	"JW2546"	124
"2238"	"JW2547"	84
"2240"	"JW2566"	92
"2241"	"JW2570"	13
"2243"	"JW2578"	98
"2245"	"JW2587"	101
"2247"	"JW4335"	81
"2249"	"JW2599"	102
"2251"	"JW2604"	86
"2252"	"JW4356"	77
"2253"	"JW5418"	89
"2258"	"JW2640"	90
"2259"	"JW2644"	16
"2261"	"JW2646"	100
"2264"	"JW2673"	116
"2266"	"JW2687"	101
"2267"	"JW2688"	102
"2268"	"JW2695"	97
"2269"	"JW2696"	78
"2271"	"JW2716"	84
"2273"	"JW2735"	91
"2274"	"JW1134"	113
"2275"	"JW1123"	13
"2276"	"JW2761"	94
"2277"	"JW2763"	87
"2278"	"JW2775"	105
"2280"	"JW2782"	81
"2284"	"JW5424"	76
"2285"	"JW2817"	11
"2286"	"JW2818"	25
"2287"	"JW5457"	29
"2288"	"JW5458"	28
"2289"	"JW5460"	95
"2290"	"JW2831"	105
"2291"	"JW2836"	114
"2293"	"JW2865"	101
"2294"	"JW2868"	87
"2295"	"JW2878"	98
"2297"	"JW2901"	97
"2298"	"JW2916"	106
"2299"	"JW5479"	97
"2300"	"JW2926"	129
"2301"	"JW2929"	108
"2303"	"JW2944"	99
"2305"	"JW5496"	102
"2308"	"JW5499"	28
"2312"	"JW2997"	121
"2314"	"JW5505"	111
"2317"	"JW3021"	90
"2318"	"JW3030"	111
"2319"	"JW3037"	100
"2320"	"JW3045"	106
"2321"	"JW3048"	24
"2322"	"JW3053"	85
"2323"	"JW3054"	15
"2329"	"JW5517"	106
"2331"	"JW1369"	87
"2332"	"JW5525"	75
"2333"	"JW3098"	104
"2336"	"JW5851"	74
"2340"	"JW3328"	10
"2343"	"JW3370"	91
"2346"	"JW3381"	9
"2347"	"JW3391"	11
"2348"	"JW3395"	18
"2350"	"JW5676"	18
"2351"	"JW3465"	94
"2354"	"JW3530"	77
"2355"	"JW3625"	8
"2357"	"JW3786"	20
"2359"	"JW3822"	15
"2360"	"JW3835"	76
"2361"	"JW3914"	84
"2363"	"JW3923"	12
"2364"	"JW4070"	28
"2366"	"JW4092"	5
"2381"	"JW3385"	7
"2382"	"JW3394"	20
"2384"	"JW3455"	7
"2391"	"JW3622"	12
"2394"	"JW3646"	29
"2395"	"JW5629"	4
"2398"	"JW3707"	91
"2399"	"JW3719"	7
"2400"	"JW5605"	26
"2401"	"JW5604"	19
"2404"	"JW5571"	89
"2407"	"JW3958"	10
"2408"	"JW3970"	72
"2410"	"JW3976"	11
"2412"	"JW3985"	115
"2417"	"JW4103"	95
"2419"	"JW5867"	2
"2421"	"JW4198"	9
"2422"	"JW5757"	85
"2423"	"JW4259"	15
"2425"	"JW4354"	92
"2427"	"JW3105"	71
"2429"	"JW3127"	9
"2430"	"JW3129"	9
"2431"	"JW3138"	99
"2432"	"JW3140"	19
"2435"	"JW3150"	94
"2439"	"JW3169"	95
"2441"	"JW3189"	17
"2445"	"JW3213"	91
"2446"	"JW3216"	76
"2455"	"JW3288"	22
"2458"	"JW5705"	18
"2459"	"JW3301"	99
"2460"	"JW3316"	12
"2461"	"JW3322"	29
"2463"	"JW5700"	81
"2464"	"JW3339"	15
"2465"	"JW3343"	76
"2467"	"JW3352"	22
"2470"	"JW3384"	22
"2472"	"JW3392"	11
"2473"	"JW3393"	11
"2474"	"JW3396"	19
"2476"	"JW3406"	14
"2477"	"JW3415"	20
"2491"	"JW3489"	8
"2495"	"JW3504"	24
"2496"	"JW3509"	24
"2497"	"JW3510"	19
"2498"	"JW5656"	81
"2499"	"JW3536"	10
"2501"	"JW3541"	29
"2505"	"JW3552"	15
"2511"	"JW3580"	4
"2512"	"JW3583"	99
"2513"	"JW3587"	104
"2515"	"JW3590"	10
"2518"	"JW3595"	25
"2524"	"JW3608"	15
"2527"	"JW3654"	23
"2529"	"JW3677"	6
"2530"	"JW3678"	16
"2532"	"JW3684"	90
"2533"	"JW3686"	11
"2534"	"JW3699"	19
"2536"	"JW3708"	95
"2537"	"JW3710"	78
"2539"	"JW3722"	90
"2541"	"JW3725"	27
"2545"	"JW3740"	17
"2547"	"JW3747"	97
"2550"	"JW5600"	76
"2553"	"JW3765"	19
"2555"	"JW5594"	15
"2558"	"JW3809"	16
"2560"	"JW5578"	10
"2561"	"JW3823"	15
"2562"	"JW3831"	9
"2564"	"JW3838"	74
"2565"	"JW3839"	82
"2566"	"JW3840"	89
"2568"	"JW3844"	79
"2569"	"JW5569"	18
"2572"	"JW3869"	95
"2574"	"JW3875"	4
"2578"	"JW3897"	22
"2579"	"JW3902"	74
"2582"	"JW5556"	104
"2585"	"JW5551"	23
"2587"	"JW3943"	87
"2588"	"JW3961"	11
"2590"	"JW3969"	89
"2593"	"JW3995"	19
"2595"	"JW3998"	26
"2597"	"JW4012"	81
"2603"	"JW4048"	18
"2604"	"JW4056"	10
"2605"	"JW4060"	11
"2607"	"JW4080"	21
"2609"	"JW4099"	87
"2610"	"JW4106"	9
"2615"	"JW4124"	14
"2621"	"JW4144"	14
"2624"	"JW5752"	25
"2627"	"JW4194"	16
"2633"	"JW4220"	87
"2634"	"JW4221"	7
"2635"	"JW4224"	24
"2637"	"JW4227"	9
"2638"	"JW5776"	29
"2640"	"JW4272"	20
"2642"	"JW4285"	83
"2646"	"JW4303"	7
"2647"	"JW5789"	17
"2650"	"JW4312"	122
"2651"	"JW5793"	93
"2653"	"JW5873"	23
"2654"	"JW4340"	7
"2656"	"JW4345"	13
"2657"	"JW4346"	101
"2658"	"JW4348"	8
"2661"	"JW4352"	29
"2665"	"JW5527"	8
"2666"	"JW3106"	14
"2669"	"JW3110"	82
"2673"	"JW5528"	12
"2674"	"JW5529"	114
"2675"	"JW3125"	89
"2676"	"JW3126"	89
"2677"	"JW5530"	19
"2679"	"JW3135"	76
"2680"	"JW3144"	24
"2681"	"JW3146"	16
"2684"	"JW3162"	23
"2688"	"JW3168"	19
"2689"	"JW3171"	83
"2692"	"JW3176"	86
"2693"	"JW3178"	11
"2697"	"JW3192"	88
"2698"	"JW3194"	16
"2699"	"JW3195"	106
"2701"	"JW3227"	83
"2702"	"JW3228"	16
"2703"	"JW5543"	20
"2705"	"JW3236"	90
"2706"	"JW3239"	11
"2711"	"JW3249"	90
"2712"	"JW3276"	75
"2713"	"JW3279"	100
"2716"	"JW3303"	94
"2717"	"JW3324"	9
"2722"	"JW3348"	90
"2726"	"JW5692"	89
"2727"	"JW3368"	87
"2728"	"JW3374"	28
"2729"	"JW5691"	72
"2732"	"JW3386"	22
"2734"	"JW3402"	88
"2738"	"JW3419"	15
"2739"	"JW3420"	12
"2740"	"JW3426"	94
"2741"	"JW3428"	12
"2742"	"JW3430"	75
"2744"	"JW3440"	14
"2748"	"JW3466"	13
"2749"	"JW3471"	20
"2750"	"JW2845"	20
"2753"	"JW3483"	5
"2755"	"JW3488"	25
"2756"	"JW3493"	7
"2764"	"JW3546"	90
"2769"	"JW3565"	71
"2770"	"JW5647"	71
"2771"	"JW3579"	7
"2772"	"JW3582"	73
"2775"	"JW3594"	26
"2777"	"JW3599"	25
"2782"	"JW5643"	28
"2783"	"JW5641"	90
"2784"	"JW3617"	72
"2787"	"JW3623"	115
"2788"	"JW3626"	23
"2790"	"JW3644"	73
"2791"	"JW3650"	22
"2792"	"JW3656"	26
"2795"	"JW3661"	5
"2796"	"JW3670"	7
"2799"	"JW3689"	5
"2800"	"JW3690"	8
"2801"	"JW3691"	86
"2802"	"JW3693"	23
"2803"	"JW3695"	77
"2804"	"JW5613"	26
"2806"	"JW3702"	94
"2807"	"JW3703"	24
"2809"	"JW3713"	89
"2813"	"JW3731"	88
"2815"	"JW5607"	6
"2816"	"JW3741"	21
"2818"	"JW3746"	24
"2819"	"JW3763"	18
"2820"	"JW5597"	13
"2823"	"JW3776"	22
"2824"	"JW5592"	17
"2825"	"JW3783"	18
"2826"	"JW3784"	77
"2827"	"JW3785"	11
"2829"	"JW5588"	10
"2832"	"JW3808"	81
"2836"	"JW3820"	88
"2838"	"JW3827"	75
"2839"	"JW5575"	98
"2841"	"JW3834"	15
"2842"	"JW3837"	109
"2844"	"JW3850"	19
"2845"	"JW3852"	71
"2846"	"JW3853"	14
"2849"	"JW3862"	82
"2852"	"JW3866"	22
"2854"	"JW3876"	22
"2855"	"JW5559"	89
"2856"	"JW3883"	119
"2857"	"JW3887"	77
"2859"	"JW3890"	97
"2860"	"JW3895"	17
"2864"	"JW3913"	26
"2867"	"JW3924"	22
"2868"	"JW3926"	23
"2869"	"JW5553"	81
"2870"	"JW3933"	17
"2871"	"JW3935"	8
"2874"	"JW3945"	73
"2875"	"JW3948"	75
"2876"	"JW5549"	21
"2878"	"JW3957"	10
"2879"	"JW5547"	23
"2880"	"JW3963"	77
"2883"	"JW3978"	21
"2885"	"JW4003"	97
"2886"	"JW5714"	104
"2887"	"JW4020"	81
"2893"	"JW4046"	76
"2896"	"JW4055"	4
"2897"	"JW4057"	8
"2898"	"JW5727"	7
"2899"	"JW4059"	8
"2901"	"JW4063"	29
"2903"	"JW4067"	11
"2904"	"JW5729"	7
"2905"	"JW4074"	92
"2906"	"JW4077"	21
"2907"	"JW4079"	16
"2910"	"JW5733"	100
"2911"	"JW4105"	98
"2912"	"JW4107"	109
"2914"	"JW4114"	91
"2915"	"JW5740"	104
"2916"	"JW4129"	23
"2917"	"JW4138"	93
"2918"	"JW4140"	107
"2919"	"JW4141"	72
"2920"	"JW4143"	105
"2922"	"JW4149"	13
"2924"	"JW4156"	8
"2925"	"JW4162"	14
"2927"	"JW4167"	104
"2928"	"JW4169"	106
"2929"	"JW4172"	84
"2930"	"JW5748"	14
"2932"	"JW4178"	85
"2933"	"JW4185"	93
"2935"	"JW4193"	82
"2937"	"JW4204"	79
"2938"	"JW4207"	92
"2941"	"JW4225"	90
"2942"	"JW4247"	5
"2945"	"JW4253"	16
"2946"	"JW5775"	8
"2947"	"JW4261"	8
"2948"	"JW4262"	11
"2949"	"JW4263"	5
"2950"	"JW4265"	8
"2951"	"JW4268"	15
"2953"	"JW4276"	13
"2957"	"JW4288"	25
"2958"	"JW4290"	28
"2960"	"JW5784"	97
"2961"	"JW5785"	10
"2962"	"JW4302"	19
"2963"	"JW4314"	26
"2964"	"JW5790"	90
"2965"	"JW5792"	11
"2969"	"JW4329"	17
"2970"	"JW4331"	29
"2973"	"JW4341"	13
"2975"	"JW4344"	115
"2976"	"JW4347"	109
"2980"	"JW4359"	13
"2981"	"JW4361"	86
"2982"	"JW4364"	90
"2983"	"JW4366"	29
"2984"	"JW3102"	77
"2986"	"JW3107"	80
"2987"	"JW3117"	97
"2988"	"JW3123"	86
"2989"	"JW3124"	112
"2990"	"JW3134"	129
"2992"	"JW5533"	111
"2994"	"JW3147"	87
"2995"	"JW3148"	87
"2998"	"JW3170"	89
"2999"	"JW3173"	78
"3001"	"JW3190"	87
"3002"	"JW3199"	113
"3003"	"JW3200"	76
"3005"	"JW3206"	91
"3006"	"JW3208"	76
"3008"	"JW3223"	95
"3010"	"JW3229"	110
"3013"	"JW3241"	102
"3014"	"JW3245"	101
"3016"	"JW3253"	136
"3017"	"JW3254"	71
"3018"	"JW3256"	77
"3019"	"JW3259"	81
"3020"	"JW3260"	99
"3022"	"JW3264"	101
"3023"	"JW3268"	86
"3024"	"JW3269"	112
"3025"	"JW3271"	112
"3026"	"JW3272"	71
"3027"	"JW3273"	83
"3028"	"JW3275"	90
"3029"	"JW3277"	82
"3030"	"JW3278"	91
"3034"	"JW3298"	96
"3035"	"JW3304"	84
"3036"	"JW3319"	99
"3037"	"JW3329"	92
"3040"	"JW3363"	103
"3041"	"JW3369"	117
"3045"	"JW3424"	119
"3048"	"JW3435"	97
"3049"	"JW3446"	80
"3051"	"JW5674"	104
"3053"	"JW3462"	80
"3054"	"JW3468"	29
"3055"	"JW3470"	92
"3059"	"JW3519"	22
"3060"	"JW3524"	92
"3061"	"JW3525"	92
"3067"	"JW3548"	7
"3072"	"JW3576"	77
"3074"	"JW3584"	89
"3075"	"JW3585"	80
"3077"	"JW3609"	94
"3079"	"JW3615"	97
"3080"	"JW3624"	82
"3082"	"JW3645"	99
"3086"	"JW3663"	128
"3088"	"JW5627"	129
"3089"	"JW3675"	75
"3090"	"JW3680"	90
"3091"	"JW3681"	96
"3093"	"JW3709"	120
"3097"	"JW3721"	82
"3098"	"JW5857"	93
"3100"	"JW3748"	86
"3101"	"JW5856"	89
"3102"	"JW3779"	113
"3104"	"JW3830"	109
"3107"	"JW3872"	94
"3110"	"JW3893"	103
"3111"	"JW3894"	97
"3112"	"JW3899"	82
"3114"	"JW3909"	89
"3119"	"JW3946"	105
"3120"	"JW3949"	99
"3121"	"JW3959"	93
"3122"	"JW3964"	96
"3123"	"JW3971"	78
"3124"	"JW3972"	87
"3126"	"JW4005"	83
"3129"	"JW4018"	106
"3132"	"JW4024"	82
"3137"	"JW4062"	27
"3139"	"JW4068"	81
"3140"	"JW4069"	102
"3141"	"JW4087"	80
"3142"	"JW4088"	84
"3144"	"JW4102"	86
"3148"	"JW4118"	86
"3150"	"JW4126"	78
"3151"	"JW4130"	76
"3153"	"JW4136"	81
"3154"	"JW4139"	76
"3159"	"JW4153"	84
"3161"	"JW4158"	98
"3162"	"JW4159"	72
"3164"	"JW4161"	84
"3165"	"JW4163"	26
"3166"	"JW5747"	86
"3167"	"JW5749"	78
"3168"	"JW4181"	98
"3169"	"JW4182"	88
"3170"	"JW4184"	94
"3171"	"JW4195"	87
"3173"	"JW5755"	76
