"JW_ID"	"Solubility..."
"460"	"JW5090"	95
"462"	"JW0634"	89
"465"	"JW0637"	93
"466"	"JW0638"	96
"467"	"JW5091"	27
"468"	"JW0640"	12
"471"	"JW0643"	12
"472"	"JW0645"	74
"473"	"JW0646"	81
"477"	"JW0655"	97
"478"	"JW0656"	115
"482"	"JW0659"	14
"483"	"JW0661"	7
"485"	"JW0663"	79
"486"	"JW0664"	28
"491"	"JW0669"	110
"492"	"JW0671"	99
"493"	"JW5816"	103
"495"	"JW0674"	13
"496"	"JW0675"	73
"497"	"JW5095"	94
"498"	"JW0680"	22
"499"	"JW5096"	78
"507"	"JW0692"	8
"510"	"JW0695"	16
"511"	"JW0696"	23
"512"	"JW0697"	23
"513"	"JW0698"	2
"514"	"JW0700"	13
"515"	"JW0701"	19
"516"	"JW0702"	7
"517"	"JW0703"	11
"518"	"JW0704"	93
"522"	"JW0710"	22
"525"	"JW0713"	10
"527"	"JW0715"	7
"528"	"JW0716"	122
"532"	"JW0721"	4
"542"	"JW0737"	100
"543"	"JW0738"	103
"544"	"JW0739"	105
"545"	"JW0740"	80
"547"	"JW0742"	10
"549"	"JW0744"	115
"553"	"JW0749"	6
"554"	"JW0750"	85
"556"	"JW5103"	12
"558"	"JW0756"	112
"559"	"JW0757"	22
"561"	"JW0759"	3
"562"	"JW0760"	6
"563"	"JW0761"	27
"564"	"JW0762"	22
"566"	"JW0764"	5
"567"	"JW0765"	105
"568"	"JW0766"	87
"569"	"JW0768"	84
"571"	"JW0772"	27
"572"	"JW0773"	14
"576"	"JW0780"	97
"578"	"JW0783"	83
"579"	"JW0784"	5
"580"	"JW0785"	8
"581"	"JW0786"	11
"582"	"JW0788"	105
"583"	"JW5105"	12
"587"	"JW0794"	97
"594"	"JW0805"	28
"595"	"JW0806"	77
"598"	"JW5109"	15
"599"	"JW0810"	78
"607"	"JW0819"	73
"610"	"JW0822"	16
"612"	"JW0824"	29
"617"	"JW0835"	77
"618"	"JW0836"	12
"619"	"JW0837"	84
"621"	"JW5818"	11
"623"	"JW0843"	16
"627"	"JW0848"	27
"631"	"JW5819"	7
"633"	"JW0854"	10
"634"	"JW0855"	20
"636"	"JW0857"	109
"637"	"JW0860"	3
"638"	"JW0861"	21
"643"	"JW0867"	94
"644"	"JW0868"	8
"646"	"JW0871"	105
"650"	"JW0875"	92
"651"	"JW0876"	28
"653"	"JW0878"	28
"655"	"JW0883"	15
"656"	"JW0884"	96
"657"	"JW0885"	95
"659"	"JW5425"	89
"661"	"JW0890"	17
"664"	"JW0893"	86
"665"	"JW0894"	87
"666"	"JW0895"	23
"669"	"JW0899"	6
"670"	"JW0901"	115
"671"	"JW0902"	23
"673"	"JW0905"	76
"674"	"JW0906"	86
"680"	"JW0915"	102
"681"	"JW0916"	24
"691"	"JW0928"	13
"694"	"JW0931"	22
"695"	"JW5127"	82
"697"	"JW5328"	14
"698"	"JW0939"	92
"702"	"JW5129"	112
"704"	"JW5130"	138
"705"	"JW5131"	103
"706"	"JW0952"	81
"709"	"JW0957"	74
"710"	"JW0958"	100
"711"	"JW0959"	95
"714"	"JW5132"	14
"719"	"JW5846"	10
"720"	"JW5134"	103
"725"	"JW0980"	78
"728"	"JW0983"	133
"733"	"JW0989"	77
"734"	"JW5136"	91
"735"	"JW5138"	16
"736"	"JW0993"	10
"737"	"JW0994"	17
"740"	"JW0997"	26
"741"	"JW0998"	80
"744"	"JW1005"	21
"747"	"JW5459"	72
"751"	"JW5145"	21
"753"	"JW1017"	100
"754"	"JW1018"	90
"758"	"JW1023"	20
"762"	"JW1032"	82
"763"	"JW5150"	22
"767"	"JW1039"	91
"771"	"JW0658"	71
"772"	"JW5844"	15
"774"	"JW1505"	19
"780"	"JW2650"	8
"781"	"JW2459"	6
"784"	"JW3063"	8
"785"	"JW1314"	5
"786"	"JW1500"	4
"787"	"JW2339"	9
"788"	"JW5200"	10
"789"	"JW5406"	21
"790"	"JW1571"	18
"792"	"JW1394"	13
"793"	"JW5853"	91
"794"	"JW2815"	15
"799"	"JW5487"	10
"800"	"JW0551"	24
"804"	"JW5154"	21
"808"	"JW3780"	27
"813"	"JW2480"	100
"817"	"JW1193"	17
"823"	"JW1372"	17
"826"	"JW1382"	8
"827"	"JW1402"	28
"830"	"JW1451"	1
"831"	"JW1484"	11
"834"	"JW1495"	8
"837"	"JW5272"	29
"838"	"JW1677"	3
"840"	"JW1703"	80
"843"	"JW1834"	2
"850"	"JW5188"	9
"853"	"JW1255"	23
"856"	"JW1302"	6
"857"	"JW1407"	13
"860"	"JW1431"	13
"861"	"JW5238"	9
"864"	"JW1504"	6
"870"	"JW1709"	23
"874"	"JW1797"	12
"877"	"JW1855"	82
"878"	"JW1865"	24
"881"	"JW1877"	89
"882"	"JW1898"	17
"887"	"JW1046"	73
"888"	"JW1049"	4
"889"	"JW1063"	106
"893"	"JW5156"	15
"894"	"JW1077"	92
"895"	"JW1081"	8
"898"	"JW1093"	12
"903"	"JW1112"	94
"904"	"JW1113"	78
"905"	"JW1114"	81
"907"	"JW1117"	74
"909"	"JW1122"	96
"910"	"JW1126"	24
"911"	"JW1135"	18
"912"	"JW1150"	20
"913"	"JW1173"	3
"914"	"JW1177"	3
"915"	"JW1178"	12
"916"	"JW1179"	3
"917"	"JW5185"	74
"918"	"JW5187"	75
"920"	"JW1201"	23
"921"	"JW1211"	7
"922"	"JW1216"	13
"923"	"JW1223"	79
"924"	"JW1238"	18
"925"	"JW1239"	18
"928"	"JW1254"	19
"931"	"JW1267"	8
"933"	"JW1284"	22
"935"	"JW1293"	15
"936"	"JW1294"	12
"940"	"JW1306"	9
"941"	"JW1308"	13
"942"	"JW1311"	11
"943"	"JW1313"	85
"946"	"JW1318"	20
"949"	"JW1327"	73
"952"	"JW5206"	26
"954"	"JW1337"	13
"958"	"JW1375"	72
"959"	"JW1380"	11
"960"	"JW1387"	21
"961"	"JW1390"	7
"962"	"JW1392"	18
"964"	"JW5226"	12
"965"	"JW1419"	16
"966"	"JW1424"	19
"968"	"JW1434"	25
"970"	"JW1436"	26
"971"	"JW1439"	20
"973"	"JW1455"	24
"974"	"JW1462"	14
"975"	"JW1474"	87
"976"	"JW1479"	23
"977"	"JW5241"	21
"979"	"JW1488"	15
"980"	"JW1492"	7
"981"	"JW1499"	3
"982"	"JW1502"	4
"983"	"JW1506"	17
"985"	"JW1514"	80
"987"	"JW1520"	25
"988"	"JW1535"	13
"989"	"JW1540"	12
"990"	"JW1572"	95
"991"	"JW1573"	4
"993"	"JW1586"	18
"1000"	"JW1612"	11
"1001"	"JW1614"	18
"1002"	"JW1615"	15
"1005"	"JW1642"	82
"1006"	"JW1653"	27
"1007"	"JW1656"	106
"1008"	"JW1666"	109
"1010"	"JW1670"	11
"1016"	"JW1694"	12
"1017"	"JW1696"	1
"1018"	"JW5277"	12
"1019"	"JW1710"	15
"1021"	"JW1723"	24
"1023"	"JW1734"	11
"1025"	"JW1736"	12
"1026"	"JW1737"	29
"1029"	"JW1750"	22
"1032"	"JW1756"	86
"1035"	"JW1763"	77
"1037"	"JW1768"	73
"1040"	"JW1789"	11
"1041"	"JW5294"	108
"1042"	"JW1792"	71
"1043"	"JW1793"	19
"1044"	"JW1801"	82
"1045"	"JW1803"	71
"1047"	"JW1806"	94
"1056"	"JW1860"	4
"1058"	"JW1872"	9
"1062"	"JW5313"	10
"1063"	"JW1908"	80
"1064"	"JW1909"	94
"1066"	"JW1923"	81
"1067"	"JW1925"	13
"1068"	"JW1927"	97
"1079"	"JW1993"	11
"1080"	"JW2002"	91
"1083"	"JW2010"	8
